organization_id,id,name,email,role,active,notes,group,api_subscription,employee_id,promotion_code,tags,org_name
10838812608,7524917807,Jennifer Hansen - CE,jhansen@example.com,admin,True,Likes emojis 😊,Advanced Support - CE,plan_gold,,doloratdoloremque,[],Express Merchant Service
2208998928,7858057707,Kate Hoffman - CE,katehoffman7@example.com,admin,True,,Tier 2 Support - CE,plan_gold,,ullaminventorefuga,[],United Oil & Gas Corp.
6894522008,7858067547,Anna Dalby - CE,anna.dalby1@example.com,end-user,True,,,plan_gold,,velquasvel,"['subscription_silver', 'product_a', 'chef_dequipe', 'plan_gold', 'no_csat']",Bob's super ford
10838798148,7858071167,Aubrey Kaine - CE,aubreykaine00@example.com,agent,True,,Sales - CE,plan_silver,,natusmolestiasea,[],Eisner Food Stores
10838814908,7858083167,Francis Kind - CE,franciskind.zen@example.com,agent,True,,Advanced Support - CE,plan_gold,,nobisconsecteturenim,[],Bodega Club
10778642047,7858096207,Bunk Moreland - CE,bunkmoreland410@example.com,admin,True,,Product Support - CE,plan_gold,,nisiquodperspiciatis,[],Kleinhans
15976972808,7858111247,Lester Freamon - CE,lazendesk@example.com,admin,True,,Product Support - CE,plan_silver,,etplaceatcupiditate,[],ABA English
15622168627,7858119547,Marlo Stanfield - CE,ceenduser@example.com,end-user,True,,,plan_gold,15.0,expeditaaliquidipsa,"['gold', 'paid', 'san_francisco', 'co-op', 'vip']",This name is not unique
10789859667,7858174327,Emma Lee - CE,fakecustomer1234@example.com,end-user,True,,,plan_bronze,12345.0,eainventorevoluptas,"['plan_gold', 'vip_user', 'no_csat']",Test 815510052462391
10778652467,7929155048,Shirin Poeplinghaus - CE,lucywalsh.zendesk@example.com,agent,True,,Tier 1 Support - CE,plan_bronze,,explicabodebitisea,['tier1_support'],Pro-Care Garden Maintenance
10838808228,7929180588,Jimmy McNulty - CE,jmcnulty410@example.com,end-user,True,,,plan_bronze,,maximeabquibusdam,"['vip_user', 'emea', 'plan_silver', 'resigned']",Wealthy Ideas
10778648407,8129791828,Jennifer Hansen - CE,fakeagent548@example.com,agent,True,,Advanced Support - CE,plan_bronze,,laboresolutapariatur,['vip_customer'],Avant Garde Interior Designs
10838833168,11321745068,Lisa Roth - CE,lrothrauff@example.com,admin,True,,Product Support - CE,plan_gold,,illoomnisnisi,[],Gamma Grays
10789859667,11321745068,Lisa Roth - CE,lrothrauff@example.com,admin,True,,Product Support - CE,plan_gold,,illoomnisnisi,[],Test 815510052462391
15976972688,12946394628,Sample customer,customer@example.com,end-user,True,,,plan_silver,,remsaepefugiat,[],Education 360
15976972808,13618422767,Em Cino - CE,franciskind.zen+01@example.com,agent,True,,Product Support - CE,plan_silver,,assumendaconsequaturdicta,[],ABA English
10778617287,15462603267,Samira Miller - CE,samira@example.com,agent,True,,Tier 1 Support - CE,plan_bronze,,vitaeasunt,[],Crazy Tiger
10838806168,16255518428,Karen Biscopink - CE,kbiscopink@example.com,admin,True,,Product Support - CE,plan_bronze,,sequiistedicta,[],Spaceage Stereo
3535325388,16306259928,Robert,franciskind.zen+1@example.com,admin,True,,Advanced Support - CE,plan_silver,,namlaborepariatur,[],1077207-Moneygram International
15976972648,17257677007,Jen Doe - CE,fakecustomer2016@example.com,end-user,True,,,plan_gold,123456789.0,inventoreveroprovident,['plan_silver'],1-Stop Connections
10838829148,18025059467,Charles Nadeau - CE,cnadeau@example.com,admin,True,,Product Support - CE,plan_bronze,,veniamfacereea,[],Mighty Casey's
2208998938,18093484988,Laduma Nguyuza,laduma@example.com,admin,True,,Product Support - CE,plan_bronze,,dictalaborumconsequatur,[],sForce
10838833248,18163710208,Fred Flora - CE,fredflora@example.com,end-user,True,,,plan_gold,,expeditasimiliqueneque,"['plan_gold', 'no_csat']",Hamady Bros. Supermarkets
10778642047,18163710208,Fred Flora - CE,fredflora@example.com,end-user,True,,,plan_gold,,expeditasimiliqueneque,"['plan_gold', 'no_csat']",Kleinhans
10838806168,18163710208,Fred Flora - CE,fredflora@example.com,end-user,True,,,plan_gold,,expeditasimiliqueneque,"['plan_gold', 'no_csat']",Spaceage Stereo
10778619527,18730775647,Jackson Davis - CE,jdavis@example.com,agent,True,,Product Support - CE,plan_bronze,,errorrationequaerat,[],Farrell's Ice Cream Parlour
10838829148,22214309548,Megan Browning - CE,mbrowning@example.com,admin,True,,Product Support - CE,plan_bronze,,eumfacerequisquam,[],Mighty Casey's
10838831148,22301486087,Mark Banuelos - CE,mbanuelos@example.com,agent,True,,Product Support - CE,plan_bronze,,eaqueconsequunturatque,[],Life Map
2371912888,22407851608,Clark Green - CE,clarkgreen123@example.com,admin,True,,Product Support - CE,plan_gold,,remquodrepellat,[],The New Org
10838798008,22983923328,Nick Lopez,nicklopez123123@example.com,end-user,True,,,plan_gold,,mollitiacorruptitemporibus,"['plan_silver', 'vip']",Frame Scene
10838810308,23783206948,Alexander Migale - CE,agm.zendesk@example.com,admin,True,,Tier 1 Support - CE,plan_silver,,harumblanditiisconsectetur,"['sales', 'training']",MVP Sports
10838839568,24410956807,Beatrix Abbott - CE,mbrowning+ba@example.com,admin,True,,Product Support - CE,plan_silver,,perspiciatisperspiciatisprovident,[],Clemens Markets
10778615267,24495693028,Cruz Smith - CE,mbrowning+cs@example.com,agent,True,,Product Support - CE,plan_bronze,,quaerecusandaedolorum,[],Merrymaking
10779027607,26130084287,Courtney Benjamin-CE,cb.zendesk@example.com,end-user,True,,,plan_silver,,delenitihicat,"['gold', 'emea_customer', 'london', 'europe']",Allied Agent Office
10838798148,26309753347,Austin Haukinz - CE,ahaukinz@example.com,agent,True,,Product Support - CE,plan_silver,,inadest,[],Eisner Food Stores
10838814808,26395517047,Aza Coward - CE,aza@example.com,admin,True,,Promotions - CE,plan_silver,,eiusidconsectetur,[],Country Club Markets
